time,us_money_stock,cny_money_stock,us_real_income,cny_real_income,e,cny_gdp
Q1-2000,36.82749,12.67499,13505641.9,19910.64903,107.1281,2132990
Q2-2000,36.6609,13.25301,13751618.5,22535.03966,106.6934,2404340
Q3-2000,36.44357,13.75468,13765635.9,23875.7172,107.6931,2571250
Q4-2000,36.18211,14.164,13847822.1,26582.7326,109.8243,2919430
Q1-2001,36.48108,14.769,13802429.1,20412.065,118.0008,2408640
Q2-2001,37.08344,15.1815,13888625.7,21792.21137,122.6429,2672660
Q3-2001,38.55512,15.54493,13832982.4,23277.01931,121.7222,2833330
Q4-2001,38.83203,15.92583,13870992,25667.2167,123.5693,3171680
Q1-2002,39.43549,16.67472,13987003.3,19845.53764,132.4983,2629500
Q2-2002,39.37922,17.34845,14072702.6,23026.03352,126.7904,2919480
Q3-2002,39.52043,18.16733,14129909.7,26205.66095,119.2769,3125730
Q4-2002,40.08859,19.01074,14147375,28557.88414,122.4541,3497030
Q1-2003,40.87187,19.76774,14221881,25071.74644,118.9606,2982550
Q2-2003,41.91992,20.61921,14347833.1,27449.4602,118.5353,3253730
Q3-2003,42.81684,21.68505,14586466.2,30053.74298,117.4293,3529190
Q4-2003,43.05954,22.6232,14755774.5,36544.16785,108.8201,3976740
Q1-2004,43.64425,23.40548,14839388.3,32238.60483,107.1529,3454460
Q2-2004,44.22564,24.55946,14954386.5,35269.98295,109.7273,3870080
Q3-2004,44.76401,25.07259,15096242.9,38074.81786,109.9283,4185500
Q4-2004,45.36967,25.7462,15250256,44186.23339,105.7791,4673980
Q1-2005,45.33216,26.45704,15419436.7,38695.4434,104.5428,4045330
Q2-2005,45.28142,27.16145,15495396.6,41656.52992,107.5296,4479310
Q3-2005,45.51199,27.90239,15616851.7,43194.66357,111.2355,4804780
Q4-2005,45.52854,28.87507,15703605.9,46086.25776,117.2254,5402480
Q1-2006,45.68519,29.5821,15914879.7,40277.34526,116.8868,4707890
Q2-2006,45.71719,30.76293,15956059.9,46003.24369,114.4991,5267330
Q3-2006,45.33327,32.1235,15979986.9,48226.20547,116.2536,5606470
Q4-2006,45.31672,33.69294,16117326.9,54018.19184,117.7781,6362160
Q1-2007,45.24501,35.4566,16165813.6,47879.72961,119.381,5715930
Q2-2007,45.53074,36.85173,16264709.9,53624.84396,120.8052,6478160
Q3-2007,45.49434,39.05425,16358398.8,59011.76123,117.7428,6948210
Q4-2007,45.50316,41.11378,16461168.2,69562.58389,113.0914,7866930
Q1-2008,45.74808,42.46696,16390917.9,65922.24107,105.2355,6937360
Q2-2008,46.21804,43.18106,16488514,75229.0702,104.6295,7871180
Q3-2008,47.33339,43.80576,16401906.8,76631.15146,107.6065,8246010
Q4-2008,50.63862,44.53348,16042864.7,92316.85124,96.08105,8869900
Q1-2009,52.16988,46.79396,15860798.3,79009.8099,93.63293,7397920
Q2-2009,53.924,51.2527,15832462.8,86146.38778,97.35266,8386580
Q3-2009,55.02169,55.75746,15888065.3,96079.35648,93.51322,8984690
Q4-2009,55.75092,59.06375,16059801.5,112294.1902,89.78737,10082600
Q1-2010,56.11387,63.12457,16137611.4,96529.73585,90.64699,8750130
Q2-2010,56.71292,66.19739,16293756.7,107863.5509,92.1047,9934740
Q3-2010,57.79628,68.48277,16419395.4,123574.3307,85.7492,10596400
Q4-2010,60.07552,71.84073,16505615.3,144541.4688,82.54171,11930700
Q1-2011,61.92229,73.18372,16466463.2,127003.2925,82.25771,10447000
Q2-2011,64.00848,75.64774,16577872.4,145797.7921,81.54856,11889600
Q3-2011,68.74567,76.90257,16574173.4,162891.3688,77.69718,12656200
Q4-2011,71.44634,78.17051,16760309.5,178486.3732,77.32355,13801200
Q1-2012,73.217,76.53394,16900859.9,147987.3951,79.3027,11735800
Q2-2012,74.67435,78.50646,16976294.3,163986.2798,80.08048,13132100
Q3-2012,77.83946,80.84439,17000744.9,175676.1381,78.60487,13809000
Q4-2012,80.77732,82.91334,17020404.7,186808.1998,81.26624,15181200
Q1-2013,81.87943,85.11285,17188321.3,140248.3061,92.30058,12945000
Q2-2013,83.28603,87.43297,17234323.5,145329.1325,98.75446,14351900
Q3-2013,84.7169,88.46568,17381055.4,153879.6374,98.92342,15222300
Q4-2013,87.64153,90.4469,17532573.4,167080.6204,100.4138,16777200
Q1-2014,90.15134,89.50279,17472069.1,136885.9896,102.8301,14076000
Q2-2014,92.4416,92.96957,17697780.7,153224.93,102.1309,15649000
Q3-2014,93.87247,93.93233,17912878,159175.9215,103.9634,16548470
Q4-2014,96.16496,93.50726,18003469.4,157976.7196,114.4656,18082900
Q1-2015,98.6527,95.20915,18165587.9,126864.613,119.1333,15113800
Q2-2015,99.23078,96.86857,18278106.5,138951.0435,121.3015,16854970
Q3-2015,100.5425,101.1234,18351263.7,144536.4836,122.1823,17659800
Q4-2015,101.574,106.7989,18385117.9,158637.0459,121.3922,19257300
Q1-2016,103.4451,112.6529,18491663.3,140715.7172,115.4171,16241000
Q2-2016,106.8043,119.6233,18551044.4,168000.7038,107.9805,18140800
Q3-2016,109.109,126.3085,18682643.8,186466.4399,102.4372,19101100
Q4-2016,110.6855,131.4303,18786201.5,193430.0029,109.376,21156600
Q1-2017,112.9978,133.8134,18877669.7,159941.324,113.7092,18186800
Q2-2017,115.8,140.5779,18983360.5,181839.3007,111.0596,20195000
Q3-2017,118.077,144.5955,19133048.9,191646.2071,111.0322,21278900
Q4-2017,119.6921,148.2105,19348687.3,208471.1754,112.9312,23542900
Q1-2018,120.6,148.4984,19506071.4,186457.4777,108.355,20203600
Q2-2018,121.0104,149.9873,19609614.6,205267.6585,109.1073,22396200
Q3-2018,122.1291,151.4371,19731919.2,210320.7635,111.484,23447400
Q4-2018,123.5467,151.5948,19759868.3,229430.6364,112.8049,25880900