time,us_money_stock,chf_money_stock,us_real_income,chf_real_income,e
Q2-1973,8.431864,7.371462,5960117.4,282503.6,3.153829
Q3-1973,8.528947,7.443609,5928776.8,285113.2,2.935878
Q4-1973,8.637062,7.482151,5985054.6,290139,3.130803
Q1-1974,8.779377,7.382499,5933600.7,294377.9,3.202462
Q2-1974,8.862118,7.364309,5947704.7,295268.4,2.977515
Q3-1974,8.940446,7.441349,5891482.4,288109.4,2.981473
Q4-1974,9.048561,7.490877,5868599.6,277816,2.752901
Q1-1975,9.104825,7.579137,5797141.5,271906.5,2.493857
Q2-1975,9.242726,7.644245,5838573.7,268993.2,2.519252
Q3-1975,9.415931,7.528297,5938532.7,265934.9,2.665429
Q4-1975,9.479918,7.652099,6018530.3,264036.4,2.649034
Q1-1976,9.618922,7.773618,6153915.1,263801.7,2.578624
Q2-1976,9.783301,7.993844,6199046.4,265154.8,2.494258
Q3-1976,9.88259,8.217322,6232980.4,269552.4,2.47927
Q4-1976,10.0591,8.21025,6278020.2,272569.3,2.446172
Q1-1977,10.30071,8.360681,6352492.1,272410.5,2.52071
Q2-1977,10.5026,8.382147,6475852.6,272396.7,2.511023
Q3-1977,10.66808,8.445458,6592623,274523,2.398036
Q4-1977,10.87659,8.54069,6592754.3,274350.4,2.18481
Q1-1978,11.10605,9.039289,6613840.7,274315.9,1.929931
Q2-1978,11.38186,9.715627,6869450.6,274937.2,1.915721
Q3-1978,11.57713,9.707368,6938540.1,275033.9,1.678903
Q4-1978,11.76026,10.39582,7031802.7,276097,1.628449
Q1-1979,11.92574,10.91697,7044431.4,278099.1,1.675269
Q2-1979,12.25671,10.63998,7051951,279659.3,1.713516
Q3-1979,12.52479,10.60674,7104333.2,282289.6,1.639293
Q4-1979,12.61415,10.28475,7122097.3,286611.3,1.624634
Q1-1980,12.84472,9.799204,7144501.4,292464.6,1.665125
Q2-1980,12.77191,9.531427,6997293.6,292919.2,1.684374
Q3-1980,13.2165,9.696607,6988976.9,294411.8,1.632606
Q4-1980,13.54967,9.843592,7119316,296114,1.722301
Q1-1981,13.73612,9.674287,7258813.5,295997.4,1.897115
Q2-1981,14.09135,9.473103,7205020.2,299380.6,2.035511
Q3-1981,14.12996,9.399076,7291300.4,300420.4,2.097831
Q4-1981,14.30207,9.210245,7211854.7,299293.3,1.834753
Q1-1982,14.64296,9.149338,7099808.1,297221.5,1.873892
Q2-1982,14.79741,9.605499,7132195.8,295287.4,1.993429
Q3-1982,14.96289,9.889597,7104931.7,293728.5,2.113489
Q4-1982,15.56414,10.27148,7107774.3,292837.2,2.137919
Q1-1983,16.01977,10.47417,7201439.9,295266.9,2.015216
Q2-1983,16.51732,10.51515,7365310.1,295526.2,2.074965
Q3-1983,16.89131,10.42945,7512539.3,297056.1,2.147323
Q4-1983,17.18366,10.50635,7669264.6,298354.9,2.160054
Q1-1984,17.47491,10.60319,7819182.7,301370,2.195884
Q2-1984,17.78271,10.76404,7954279.5,302937.7,2.246893
Q3-1984,17.92723,10.79484,8030959.6,307839.8,2.440213
Q4-1984,18.1236,11.62834,8096875.5,310441.3,2.51584
Q1-1985,18.61343,15.93707,8175332.5,314490.7,2.756091
Q2-1985,19.06133,16.02345,8247314.2,316552.1,2.591215
Q3-1985,19.73208,16.30094,8373273.1,317099.9,2.348724
Q4-1985,20.29693,16.60094,8435524.1,319839.2,2.133727
Q1-1986,20.74153,16.91074,8514290.6,321112,1.976922
Q2-1986,21.55239,17.13145,8552630.1,323391.6,1.866966
Q3-1986,22.46585,17.40898,8634450.4,323506.6,1.685543
Q4-1986,23.4433,17.77839,8680765,323255.3,1.66432
Q1-1987,24.21224,18.1652,8745162.8,323349.1,1.545892
Q2-1987,24.63366,18.57875,8839451.2,325878.7,1.490764
Q3-1987,24.66235,19.17958,8916105,329660.8,1.523929
Q4-1987,24.92822,19.80989,9069190.6,332292.2,1.402333
Q1-1988,25.10584,21.06052,9116067.7,333738.6,1.374576
Q2-1988,25.5736,21.80058,9235855.8,335586,1.418969
Q3-1988,25.90788,21.80017,9289975.1,339198.5,1.564187
Q4-1988,25.97959,21.65745,9413759.9,345702.5,1.49473
Q1-1989,25.95311,21.09413,9509440.9,347288.4,1.580456
Q2-1989,25.67951,20.82486,9582007.4,352754.3,1.69559
Q3-1989,25.79535,20.70216,9652984.8,354875.4,1.659909
Q4-1989,26.11749,20.4631,9671999.3,359313.5,1.606044
Q1-1990,26.42197,19.78024,9777702.9,366920,1.505043
Q2-1990,26.68785,19.5485,9813193,368022.7,1.442643
Q3-1990,26.98461,19.63229,9819726.8,366492.5,1.335498
Q4-1990,27.21298,19.77067,9730327.5,365301.6,1.272254
Q1-1991,27.5638,19.83406,9684795.4,366304.8,1.309253
Q2-1991,28.11651,19.93752,9760306.7,362247.2,1.473808
Q3-1991,28.6626,20.20966,9809631.2,361778.4,1.517643
Q4-1991,29.37417,20.253,9843822.2,362779.2,1.434002